pair_ID	sentença_a	sentença_b	relatedness_score	entailment_judgment
72	Duas pessoas em roupas de neve estão deitadas na neve e fazendo anjos de neve	Dois anjos estão fazendo neve nas crianças mentiras	2.5	NEUTRAL
73	Duas crianças estão deitadas na neve e estão fazendo anjos de neve	Duas pessoas em roupas de neve estão deitadas na neve e fazendo anjos de neve	4.2	NEUTRAL
77	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	Pessoas mascaradas estão olhando na mesma direção em uma floresta	4.4	ENTAILMENT
78	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	Pessoas vestindo fantasias estão se espalhando em uma floresta e estão olhando em direções diferentes	3.2	NEUTRAL
79	As pessoas estão olhando para algumas roupas reunidas nas proximidades da floresta	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	3.635	NEUTRAL
81	Uma garotinha está olhando para uma mulher em fantasia	Pessoas vestindo fantasias estão se espalhando em uma floresta e estão olhando em direções diferentes	2.4	NEUTRAL
82	Uma garotinha está olhando para uma mulher em fantasia	As pessoas estão olhando para algumas roupas reunidas nas proximidades da floresta	2.6	NEUTRAL
83	Uma jovem está olhando para uma mulher em fantasia	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	2.2	NEUTRAL
84	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	A menina está olhando para um homem em fantasia	3	NEUTRAL
85	Pessoas vestindo fantasias estão se reunindo em uma floresta e estão olhando na mesma direção	Uma garotinha em fantasia parece uma mulher	2	NEUTRAL
87	Um motociclista solitário está pulando no ar	Um motociclista está pulando no ar, sozinho	5	ENTAILMENT
88	Não há motociclista pulando no ar	Um motociclista solitário está pulando no ar	4.2	CONTRADICTION
90	Um homem está pulando em uma piscina vazia	Um homem está pulando em uma piscina cheia	3	CONTRADICTION
91	Um homem está pulando em uma piscina vazia	O saltador do homem está na piscina vazia	3.1	NEUTRAL
93	Um motociclista solitário está pulando no ar	Um homem está pulando em uma piscina cheia	1.7	NEUTRAL
94	O saltador do homem está na piscina vazia	Um motociclista solitário está pulando no ar	1.4	NEUTRAL
97	Um motociclista solitário está pulando no ar	Um homem está pulando em uma piscina vazia	1.5	NEUTRAL
98	Quatro crianças estão fazendo backbends no parque	Quatro crianças estão fazendo backbends no parque	4.8	ENTAILMENT
99	Quatro crianças estão fazendo backbends na academia	Quatro crianças estão fazendo backbends no parque	3.8	NEUTRAL
100	Quatro meninas estão fazendo backbends e brincando no jardim	Quatro meninas estão fazendo backbends e brincando ao ar livre	4.1	ENTAILMENT
107	Um homem que está jogando está correndo com a bola nas mãos	Um jogador está correndo com a bola	4.3	ENTAILMENT
112	Dois grupos de pessoas estão jogando futebol	Um jogador está correndo com a bola	2.1	NEUTRAL
113	Duas equipes estão competindo em um jogo de beisebol	Um jogador está correndo com a bola	3	NEUTRAL
117	Um jogador está correndo com a bola	Duas equipes estão competindo em uma partida de futebol	2.6	NEUTRAL
120	Cinco estandes de madeira estão na frente da cabana de cada criança	Cinco crianças estão de pé na frente de uma cabana de madeira	3.2	NEUTRAL
122	Cinco filhos estão parados juntos e um garoto tem uma arma	Cinco crianças estão juntas e nenhuma das crianças tem uma arma	3.7	CONTRADICTION
124	Cinco crianças estão juntas e nenhuma das crianças tem uma arma	Cinco crianças estão de pé na frente de uma cabana de madeira	2.6	NEUTRAL
126	Cinco filhos estão de pé em uma cabana de madeira	Cinco filhos estão parados juntos e um garoto tem uma arma	2.7	NEUTRAL
127	Cinco estandes de madeira estão na frente da cabana de cada criança	Cinco filhos estão parados juntos e um garoto tem uma arma	2.3	NEUTRAL
129	Um velho está sentado em um campo	Um homem está sentado em um campo	4.4	ENTAILMENT
130	Um homem está sentado em um campo	Um homem está correndo em um campo	2.6	NEUTRAL
131	Uma pessoa está usando um chapéu e está sentado na grama	Uma pessoa está sentada em um campo e está usando um chapéu	4.1	NEUTRAL
133	Uma pessoa está sentada e usando um chapéu de grama	Uma pessoa está usando um chapéu e está sentado na grama	3.4	NEUTRAL
136	Uma pessoa está sentada e usando um chapéu de grama	Um homem está sentado em um campo	3.3	NEUTRAL
139	Um homem está sentado em um campo	Uma pessoa está usando um chapéu e está sentado na grama	3.8	NEUTRAL
140	A corrente está sendo montada por um grupo de amigos em uma balsa	Um grupo de amigos está montando a corrente em uma balsa	4.9	ENTAILMENT
141	Um grupo de amigos está montando a corrente em uma balsa	Um grupo não está montando a corrente em uma balsa	3.7	CONTRADICTION
146	A corrente está sendo montada por um grupo de amigos em uma balsa	Este grupo de pessoas está praticando segurança na água e usando preservadores	3.2	NEUTRAL
148	Um grupo de amigos está montando a corrente em uma balsa	Este grupo de pessoas está praticando segurança na água e usando preservadores	3.1	NEUTRAL
150	Um cervo está pulando sobre uma cerca	Um cervo não está pulando sobre a cerca	3.9	CONTRADICTION
159	As pessoas estão andando dentro de um prédio que tem muitos murais	As pessoas estão saindo de um prédio que tem muitos murais	3.4	NEUTRAL
161	Várias pessoas estão na frente de um edifício colorido	Ninguém está na frente do edifício colorido	3.5	CONTRADICTION
163	As pessoas estão saindo de um prédio que tem muitos murais	Ninguém está na frente do edifício colorido	3.6	NEUTRAL
164	As pessoas estão saindo do prédio que tem vários murais nele	Várias pessoas estão na frente de um edifício colorido	3.6	ENTAILMENT
170	Uma família está assistindo um menino que está atingindo uma bola de beisebol	Uma família está assistindo um menino que está perdendo um beisebol	3.9	NEUTRAL
173	Uma criança está atingindo um beisebol	Uma família está assistindo um menino que está perdendo um beisebol	3.015	NEUTRAL
176	Uma criança está faltando um beisebol	Uma família está assistindo um menino que está atingindo uma bola de beisebol	2.7	NEUTRAL
183	Uma multidão roxa de pessoas está comendo em várias mesas de restaurantes vermelhas iluminadas	Várias pessoas estão comendo em mesas vermelhas em um restaurante lotado com luzes roxas	3.3	NEUTRAL
184	Um grande grupo de pessoas asiáticas está comendo em um restaurante	Vários clientes estão comendo em um restaurante lotado com luzes roxas	2.9	NEUTRAL
186	Uma multidão roxa de pessoas está comendo em várias mesas de restaurantes vermelhas iluminadas	Um grande grupo de pessoas asiáticas está comendo em um restaurante	3.1	NEUTRAL
188	Várias pessoas estão comendo em mesas vermelhas em um restaurante lotado com luzes roxas	Um pequeno grupo de pessoas está esperando para comer em um restaurante	3.2	NEUTRAL
192	Um motocicleta está de pé no banco de uma motocicleta branca	Nenhum piloto de motocicleta está de pé no banco de uma motocicleta	3.8	CONTRADICTION
194	Ninguém está em uma motocicleta e está de pé no banco	Alguém está em uma motocicleta em preto e branco e está de pé no assento	3.7	CONTRADICTION
200	Um motociclista está montando uma moto perigosamente ao longo de uma estrada	Um motociclista está montando uma moto ao longo de uma estrada	4.6	ENTAILMENT
201	Não há motociclista andando de moto ao longo de uma estrada	Um motociclista está montando uma moto ao longo de uma estrada	3.7	CONTRADICTION
202	Um homem com um capacete pintado de vermelho está montando uma motocicleta azul na estrada	Um motociclista com um capacete vermelho está andando de moto azul na estrada	4.8	ENTAILMENT
205	Um motociclista sem capacete está esperando em uma motocicleta azul perto da estrada	Um motociclista está montando uma moto ao longo de uma estrada	3.3	NEUTRAL
215	Dois cães estão brincando de uma árvore	Um cachorro está pegando um graveto no ar e outro está assistindo	3.7	NEUTRAL
216	Dois cães estão brincando de uma árvore	Não há cachorro pulando no ar	2.7	NEUTRAL
217	Dois cães estão brincando de uma árvore	Um cachorro está pulando no ar e outro está assistindo	3	NEUTRAL
223	Uma garota de branco está dançando	O dançarino está dançando em frente ao equipamento de som	4	NEUTRAL
224	Uma garota de branco está dançando	A garota loira está dançando atrás do equipamento de som	3.3	NEUTRAL
226	Uma garota está vestindo roupas brancas e está dançando	A garota loira está dançando em frente ao equipamento de som	3.5	NEUTRAL
227	A garota loira está dançando em frente ao equipamento de som	Não há garota de dança branca	3.3	NEUTRAL
232	Três crianças asiáticas estão dançando e um homem está olhando	Três crianças asiáticas estão dançando e não há homem olhando	3.9	CONTRADICTION
233	Três crianças asiáticas estão dançando e um homem está olhando	Um homem asiático está dançando e três crianças estão olhando	3.7	NEUTRAL
234	Os filhos de uma família estão brincando e esperando	Três crianças asiáticas estão dançando e um homem sério está olhando	1.9	NEUTRAL
237	Os filhos de uma família estão brincando pacientemente e esperando	Três crianças asiáticas estão dançando e um homem está olhando	2.3	NEUTRAL
238	Não há crianças brincando e esperando	Três crianças asiáticas estão dançando e um homem está olhando	1.6	NEUTRAL
240	Uma mulher está usando um chapéu egípcio na cabeça	Uma mulher está usando um cocar egípcio	4.3	ENTAILMENT
241	Uma mulher está usando um cocar egípcio	Uma mulher está vestindo uma touca indiana	4	NEUTRAL
248	A mulher negra está usando óculos sobre a touca	Uma mulher está usando um cocar egípcio	3.6	NEUTRAL
249	Uma mulher está usando um chapéu egípcio na cabeça	A mulher está usando óculos e um toucado preto	2.5	NEUTRAL
254	Um caminhante está no topo da montanha e está dançando	Não há alpinista dançando no topo da montanha	3.2	CONTRADICTION
256	Não há homem em uma rocha alto acima de algumas árvores em uma posição estranha	Um homem está em uma rocha acima de algumas árvores e está em uma posição estranha	4.3	CONTRADICTION
257	Um caminhante está no topo da montanha e está dançando	Um homem está em uma rocha acima de algumas árvores e está em uma posição desconfortável	2.5	NEUTRAL
258	Um caminhante está no topo da montanha e está dançando	Não há homem em uma rocha alto acima de algumas árvores em uma posição estranha	2.5	NEUTRAL
259	Um homem está em uma rocha acima de algumas árvores e está em uma posição estranha	Um caminhante está no topo da montanha e está fazendo uma dança alegre	2.9	NEUTRAL
260	Não há alpinista dançando no topo da montanha	Um homem está em uma rocha acima de algumas árvores e está em uma posição estranha	2.4	NEUTRAL
265	O cavalo marrom fica muito perto de um barril vermelho no rodeio	O cavalo marrom fica perto de um barril vermelho no rodeio	4.8	ENTAILMENT
266	O cavalo marrom fica perto de um barril vermelho no rodeio	O cavalo marrom está longe de ser um barril vermelho no rodeio	3.6	CONTRADICTION
269	Uma vaqueira está montando um cavalo marrom e está encurralando um barril	O cavalo marrom fica perto de um barril vermelho no rodeio	3.2	NEUTRAL
272	Uma vaqueira está montando um cavalo e curva um barril	O cavalo marrom fica perto de um barril vermelho no rodeio	3.8	NEUTRAL
273	Um menino está de pé na água fria	Um menino está de pé na água	4.1	ENTAILMENT
276	O garoto está sentado perto do oceano azul	O garoto está percorrendo o oceano azul	3.2	CONTRADICTION
277	Um menino está de pé na água	O garoto está nadando através do oceano azul	3	NEUTRAL
279	O garoto está percorrendo o oceano azul	Um menino está de pé na água fria	3.3	NEUTRAL
283	Um homem está tocando um violão no palco	Não há homem tocando um violão no palco	3.6	CONTRADICTION
286	Um homem está tocando um violão no palco	Um guitarrista tem cabelos loiros e escolares	3	NEUTRAL
287	Um homem está tocando um violão no palco	Uma pessoa careca está tocando um violão	3.8	NEUTRAL
289	Não há homem tocando um violão no palco	Uma pessoa tem cabelos loiros e escolares e está tocando uma guitarra	3.4	NEUTRAL
291	Vários filhos estão sentados e os joelhos levantados	Vários filhos estão deitados e levantando os joelhos	4	NEUTRAL
293	Duas jovens estão sentadas no chão	Duas meninas estão sentadas no chão	4.4	ENTAILMENT
296	Duas garotas estão deitadas no chão	Vários filhos estão sentados e os joelhos levantados	2.8	NEUTRAL
301	Uma senhora nua está andando na frente de uma multidão em tinta corporal	Não há senhora andando na tinta corporal na frente de uma multidão	2.9	CONTRADICTION
302	Uma senhora nua está andando na frente de uma multidão em tinta corporal	Uma multidão nua na tinta corporal está andando na frente de uma senhora	3.1	NEUTRAL
303	Uma mulher jovem e de topless está coberta de tinta	Uma garota de topless está coberta de tinta	4.4	ENTAILMENT
305	Uma senhora nua está andando na frente de uma multidão em tinta corporal	Uma garota de topless está coberta de tinta	3.8	ENTAILMENT
309	Uma multidão nua na tinta corporal está andando na frente de uma senhora	Uma mulher jovem e de topless está coberta de tinta	3	NEUTRAL
310	Uma senhora nua está andando na frente de uma multidão em tinta corporal	Uma mulher jovem e de topless está coberta de tinta	4.2	NEUTRAL
311	Um grupo de pessoas está perto do oceano	Uma multidão de pessoas está perto da água	4.3	ENTAILMENT
312	Uma multidão de pessoas está perto da água	Uma multidão de pessoas está longe da água	3.8	CONTRADICTION
313	Um grupo de crianças de uniformes está de pé em um portão e um está beijando a mãe	Um grupo de crianças vestindo as mesmas roupas está esperando em um portão e um está beijando a mãe	4.5	ENTAILMENT
315	Um grupo de mães de uniformes está perto das crianças e um está beijando o portão	Um grupo de crianças de uniformes está de pé em um portão e um está beijando a mãe	3.3	NEUTRAL
323	Um homem está em um estacionamento e está jogando tênis contra uma parede grande	Um homem está em um estacionamento e está jogando tênis contra um amigo	3.9	NEUTRAL
327	Um homem está em um estacionamento e está jogando tênis contra uma parede grande	Não há homem apontando para um carro	1.5	NEUTRAL
329	Um homem está em um estacionamento e está jogando tênis contra um amigo	Um homem está apontando para um sedan prateado	1.3	NEUTRAL
331	Um grupo de pessoas está em uma praia	Um grupo de pessoas está perto do mar	4	ENTAILMENT
332	Um grupo de pessoas está em uma praia	Um grupo de pessoas está em uma montanha	2.6	NEUTRAL
333	Um homem, uma mulher e duas meninas estão andando na praia	Quatro pessoas estão andando na praia	4.5	ENTAILMENT
335	Um grupo de pessoas está em uma praia	Quatro pessoas estão andando na praia	4.6	NEUTRAL
338	Um homem, uma mulher e duas meninas estão andando na praia	Um grupo de pessoas está em uma montanha	1.4	NEUTRAL
339	Um homem, uma mulher e duas meninas estão andando na praia	Um grupo de pessoas está em uma praia	4.3	ENTAILMENT
340	Uma estudante com uma bolsa preta está em um trem lotado	Uma garota com uma bolsa preta está em um trem lotado	4.7	ENTAILMENT
341	Não há garota com uma bolsa preta em um trem lotado	Uma garota com uma bolsa preta está em um trem lotado	3.7	CONTRADICTION
342	Uma garota com uma bolsa preta está em um trem lotado	Um trem preto apertado está na sacola de uma garota	2.7	NEUTRAL
344	Uma mulher asiática na multidão não está carregando uma bolsa preta	Uma mulher asiática em uma multidão está carregando uma bolsa preta	3.8	NEUTRAL
346	Uma garota com uma bolsa preta está em um trem lotado	Uma mulher asiática na multidão não está carregando uma bolsa preta	2.5	NEUTRAL
347	Uma estudante com uma bolsa preta está em um trem lotado	Uma mulher asiática em uma multidão está carregando uma bolsa preta	2.8	NEUTRAL
351	Um cachorro está perseguindo outro e está segurando um pau na boca	Um cachorro está perseguindo outro e segurando um pedaço de madeira na boca	4.6	ENTAILMENT
354	Dois cães estão correndo e carregando um brinquedo na boca	Dois cães estão correndo e carregando um objeto na boca	4.3	ENTAILMENT
358	Um cachorro está perseguindo outro e segurando um pedaço de madeira na boca	Dois cães estão correndo e carregando um objeto na boca	3.9	NEUTRAL
360	Dois cães estão correndo e carregando um objeto na boca	Um cachorro está perseguindo um graveto e segurando outro cachorro na boca	3.2	NEUTRAL
361	Um cachorro está perseguindo outro e está segurando um pau na boca	Dois cães estão correndo e carregando um objeto na boca	4	ENTAILMENT
362	Uma bola suja de futebol está rolando em uma rede de gols	Uma bola de futebol está rolando em uma rede de gols	4.5	ENTAILMENT
363	Uma bola de futebol não está rolando em uma rede de gols	Uma bola de futebol está rolando em uma rede de gols	3.4	CONTRADICTION
366	Uma pessoa que joga futebol está chutando uma bola no gol	Uma bola de futebol está rolando em uma rede de gols	4.1	NEUTRAL
367	Uma bola de futebol está rolando em uma rede de gols	Um jogador de futebol está chutando uma bola para fora do gol	3.2	NEUTRAL
370	Uma bola de futebol está rolando em uma rede de gols	Um jogador de futebol está chutando uma bola no gol	4.3	NEUTRAL
372	Um homem está sentado em uma cadeira e esfregando os olhos	Não há homem sentado em uma cadeira e esfregando os olhos	3.8	CONTRADICTION
373	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem tatuado está em um sofá e está segurando um lápis	4.4	ENTAILMENT
374	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem com tatuagens está descansando em um sofá e está procurando um lápis	2.9	NEUTRAL
375	Um homem com tatuagens está segurando um sofá com um lápis	Um homem com tatuagens está descansando em um sofá e segurando um lápis	2.6	NEUTRAL
377	Um homem está sentado em uma cadeira e esfregando os olhos	Um homem com tatuagens está descansando em um sofá e está procurando um lápis	2.1	NEUTRAL
378	Um homem com tatuagens está segurando um sofá com um lápis	Um homem está sentado em uma cadeira e esfregando os olhos	2	NEUTRAL
379	Um homem está descansando em uma cadeira e esfregando os olhos	Um homem com tatuagens está descansando em um sofá e segurando um lápis	2.5	NEUTRAL
380	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Não há homem sentado em uma cadeira e esfregando os olhos	1.6	NEUTRAL
381	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem está sentado em uma cadeira e esfregando os olhos	2.4	NEUTRAL
387	Um cachorro marrom e branco está correndo pela grama alta	Um cachorro preto e marrom está correndo pela grama baixa e verde	3.8	NEUTRAL
390	Um cachorro branco e bronzeado está correndo pela grama alta e verde	Um cachorro marrom e branco está correndo pela grama alta	4.6	ENTAILMENT
391	Um homem com roupas cobertas de tinta está sentado do lado de fora em uma área movimentada escrevendo algo	Um homem está vestindo roupas cobertas de tinta e está sentado do lado de fora em uma área movimentada escrevendo algo	4.8	ENTAILMENT
392	Não há homem usando roupas cobertas de tinta ou está sentado em uma área movimentada escrevendo algo	Um homem está vestindo roupas cobertas de tinta e está sentado do lado de fora em uma área movimentada escrevendo algo	4.1	CONTRADICTION
393	Um homem sentado está ocupado escrevendo algo em uma área coberta por tinta	Um homem está vestindo roupas cobertas de tinta e está sentado do lado de fora em uma área movimentada escrevendo algo	3.7	NEUTRAL
395	Um homem está sentado perto de uma bicicleta e está escrevendo uma nota	Não há homem escrevendo uma nota perto de uma bicicleta	4.2	CONTRADICTION
396	Um homem está vestindo roupas cobertas de tinta e está sentado do lado de fora em uma área movimentada escrevendo algo	Um homem está de pé perto de uma bicicleta e está escrevendo em um pedaço de papel	2.6	NEUTRAL
397	Não há homem escrevendo uma nota perto de uma bicicleta	Um homem está vestindo roupas cobertas de tinta e está sentado do lado de fora em uma área movimentada escrevendo algo	2.7	NEUTRAL
398	Um homem está sentado perto de uma bicicleta e está escrevendo uma nota	Um homem com roupas cobertas de tinta está sentado do lado de fora em uma área movimentada escrevendo algo	3.1	NEUTRAL
403	Um grupo de escoteiros está acampando na grama	Um grupo de batedores está caminhando pela grama	3.5	NEUTRAL
404	Algumas pessoas estão andando	As pessoas estão andando	4.7	ENTAILMENT
409	Algumas pessoas estão andando	Um grupo de escoteiros está acampando na grama	1.5	NEUTRAL
410	Um grupo de batedores está caminhando pela grama	Algumas pessoas estão andando	3.2	ENTAILMENT
413	Dois homens estão fazendo uma pausa em uma viagem em uma estrada nevada	Dois homens estão invadindo um carro durante uma viagem em uma estrada nevada	3	NEUTRAL
415	Dois homens com bicicletas estão do lado de uma estrada nevada	Dois homens com carros estão do lado de uma estrada nevada	3.5	NEUTRAL
422	Dois homens estão segurando postes de pesca e equipamento de pesca	Dois homens estão segurando postes de pesca	4.3	ENTAILMENT
423	Dois homens não estão segurando postes de pesca	Dois homens estão segurando postes de pesca	3.2	CONTRADICTION
427	Dois homens estão segurando postes de pesca	Dois homens estão parados perto da água e estão segurando ferramentas usadas para pescar	4.3	NEUTRAL
428	Não há homem em pé perto da água e segurando postes de pesca	Dois homens estão segurando postes de pesca	3.2	NEUTRAL
434	A menina com capacete está andando de bicicleta	A garota do capacete está empoleirando -se em uma bicicleta	4.2	NEUTRAL
435	Uma mulher está realizando um truque em uma rampa com uma bicicleta	Uma mulher está pulando com uma bicicleta	4.3	NEUTRAL
436	Uma mulher está realizando um truque em uma rampa com uma bicicleta	Uma mulher está realizando um truque em uma rampa com um carro	2.4	NEUTRAL
438	A garota do capacete está empoleirando -se em uma bicicleta	Uma mulher está realizando um truque em uma rampa com um carro	1.9	NEUTRAL
439	A garota com um capacete está empoleirando -se em uma bicicleta	Uma mulher está realizando um truque em uma rampa com uma bicicleta	2.9	NEUTRAL
440	A menina com capacete está andando de bicicleta	Uma mulher está realizando um truque em uma rampa com uma bicicleta	3.7	NEUTRAL
441	Uma mulher está realizando um truque em uma rampa com uma bicicleta	A garota do capacete está empoleirando -se em uma bicicleta	3.3	NEUTRAL
442	Uma garota loira está surfando	Uma garota loira está montando as ondas	4.7	ENTAILMENT
446	Uma senhora está surfando e montando uma onda	Um menino está surfando e montando uma onda	3.5	NEUTRAL
447	Uma mulher está surfando	Uma garota loira está montando as ondas	4	NEUTRAL
449	Uma senhora está surfando e montando uma onda	Uma garota loira está surfando	3.6	NEUTRAL
451	Uma garota loira acena enquanto ela está montando	Uma senhora está surfando e montando uma onda	2.3	NEUTRAL
454	Duas crianças e um adulto estão ao lado de um membro da árvore	Duas crianças e um adulto não estão ao lado de um membro da árvore	3.6	CONTRADICTION
457	Duas crianças e um adulto estão ao lado de um membro da árvore	Duas crianças estão escalando uma árvore	3	NEUTRAL
461	Duas crianças e um adulto estão ao lado de um membro da árvore	Duas crianças estão penduradas em um ramo grande	2.7	NEUTRAL
462	Um homem vestido de preto está andando de bicicleta	Um homem está fazendo um truque em uma bicicleta	3.5	NEUTRAL
465	Um homem está realizando acrobacias em uma bicicleta verde	Um homem está realizando um truque em uma bicicleta verde	4.7	ENTAILMENT
470	Não há homem vestido de preto e andando de bicicleta verde	Um homem está realizando um truque em uma bicicleta verde	3.4	NEUTRAL
473	Um menino está segurando uma pistola de esguicho	Uma criança está segurando uma pistola de esguicho	4.5	ENTAILMENT
475	Uma criança rindo está segurando uma pistola de água e sendo pulverizada com água	Uma criança com uma arma que espalha a água está rindo e sendo atingida por outros meninos	4	NEUTRAL
476	Não há criança segurando uma pistola de água ou sendo pulverizada com água	Uma criança rindo está segurando uma pistola de água e sendo pulverizada com água	4	CONTRADICTION
477	Uma criança com uma arma que espalha a água está rindo e sendo atingida por outros meninos	Uma criança está segurando uma pistola de esguicho	3.9	ENTAILMENT
484	Dois Daschunds estão jogando com uma bola vermelha	Dois cães estão brincando com uma pequena bola vermelha	4.2	NEUTRAL
485	Dois gatos estão jogando com uma bola vermelha	Dois Daschunds estão jogando com uma bola vermelha	3.3	NEUTRAL
486	Dois cães marrons estão brigando por uma bola vermelha e estão jogando na grama	Dois cães estão brincando com uma pequena bola vermelha	3.8	NEUTRAL
489	Não há cachorro brincando com uma bola vermelha	Dois Daschunds estão jogando com uma bola vermelha	3	CONTRADICTION
491	O cachorro preto e branco está correndo e uma pessoa está atrás dele	O cachorro, que é preto e branco, está correndo e uma pessoa está atrás dele	4.9	ENTAILMENT
494	Um cachorro está correndo e a pessoa que o possui está tentando pegá -lo	Um cachorro está correndo e seu dono está tentando pegá -lo	4.8	ENTAILMENT
496	O cachorro preto e branco está correndo e uma pessoa está atrás dele	Um cachorro está correndo e a pessoa que o possui está tentando pegá -lo	3	NEUTRAL
497	O cachorro preto e branco está correndo e uma pessoa está atrás dele	Um cachorro está desacelerando e o proprietário está deixando de perseguindo	2.9	NEUTRAL
499	O cachorro preto e branco não está correndo e não há pessoa para trás	Um cachorro está correndo e seu dono está tentando pegá -lo	2.7	NEUTRAL
500	Uma pessoa negra está correndo ao longo de um suporte branco e um cachorro latindo atrás dele	Um cachorro está correndo e seu dono está tentando pegá -lo	2.5	NEUTRAL
505	Um homem vestindo uma camisa preta tingida está sentada à mesa e rindo	Uma camisa preta está sendo usada por um homem que está sentado à mesa e rindo	4.7	ENTAILMENT
506	Um homem vestindo uma camisa preta tingida está sentada à mesa e rindo	Não há homem usando uma camisa tingida de preto, sentado à mesa e rindo	3.7	CONTRADICTION
507	Um homem riso está tingindo uma camisa preta sobre a mesa em que você não pode sentar	Um homem vestindo uma camisa preta tingida está sentada à mesa e rindo	3.6	NEUTRAL
508	Uma camisa preta está sendo usada por um homem que está sentado à mesa e rindo	Um homem está sentado confortavelmente em uma mesa	3.5	NEUTRAL
513	Um homem está sentado e mesas uma discussão confortável	Um homem vestindo uma camisa preta tingida está sentada à mesa e rindo	2.4	NEUTRAL
514	Um homem está sentado confortavelmente em uma mesa	Um homem vestindo uma camisa preta tingida está sentada à mesa e rindo	3.9	NEUTRAL
515	Uma mulher que está vestindo uma junção rosa está andando de bicicleta em uma ponte construída para pedestres	Uma mulher que está usando um lenço rosa está andando de bicicleta em uma ponte construída para pedestres	4.3	ENTAILMENT
516	Uma mulher que está tirando uma junção rosa está parando sua bicicleta em uma ponte construída para pedestres	Uma mulher que está vestindo uma junção rosa está andando de bicicleta em uma ponte construída para pedestres	3.7	NEUTRAL
