sent0,sent1,hard_neg
"Além dos jogadores, a FA decidiu denunciar Arsenal e Chelsea por não conseguirem controlar seus atletas.",Tanto o Chelsea quanto o Arsenal também foram acusados pela FA de não conseguirem controlar seus jogadores.,"Apesar da FA ter denunciado Arsenal e Chelsea por não controlarem seus atletas, ambos os clubes conseguiram conter seus jogadores."
"Os quenianos Eliud Kipchoge, pelo lado masculino, e Gladys Cherono, pelo feminino, foram os vencedores da corrida.","No feminino, a vitória ficou com a queniana Gladys Cherono.","Os quenianos Eliud Kipchoge, pelo lado masculino, e Vivian Cheruiyot, pelo feminino, não foram os vencedores da corrida."
"Após o Chelsea vencer o jogo por 2 a 0 e chegar a sete pontos, José Mourinho voltou a provocar o Arsenal.",Bastou o Chelsea vencer por 2 a 0 para Mourinho voltar provocar o Arsenal.,"Apesar do Chelsea vencer o jogo por 2 a 0 e chegar a sete pontos, José Mourinho evitou provocar o Arsenal."
"Antes do intervalo, aos 47 min, Douglas cobrou falta, Rhodolfo cabeceou para grande defesa de Alisson.","Douglas cobrou falta na área, Rhodolfo cabeceou e viu Alisson salvar.","Após o apito, aos 48 min, Alisson cobrou falta, Douglas cabeceou para fora, sem defesa de Rhodolfo."
"O piloto da STR derrapou na pista e foi parar, em alta velocidade, na barreira de proteção.","O piloto da STR, bateu violentamente em uma barreira de proteção da pista.","O piloto da STR, em alta velocidade, evitou a barreira de proteção da pista."
"José Mourinho levou, novamente, o Chelsea ao título de campeão inglês de futebol.","Ao apito final, festa: Chelsea mais uma vez campeão inglês.","Apesar do apito, silêncio: Chelsea, novamente, fora do título inglês de futebol."
A comissão apura denúncias de abuso e exploração sexual em meninas da comunidade quilombola.,O grupo apura denúncias de abusos e exploração sexual de crianças da Comunidade Quilombola.,A comissão desmente denúncias de abuso e exploração sexual inexistentes em meninas da comunidade quilombola.
"O enterro está marcado para hoje às 16h30, no Cemitério do Bonfim.","O enterro será hoje à tarde, Cemitério do Bonfim.","O enterro não será hoje, nem no Cemitério do Bonfim."
"Morreu nesta sexta-feira (12) o músico e compositor Fernando Brant, 68 anos, em Minas Gerais.",Morreu nessa sexta-feira o compositor Fernando Brant.,Não morreu nessa sexta-feira o compositor Fernando Brant.
Em 2001 recebeu a Ordem do Império Britânico e em 2009 foi armado Cavaleiro.,"Em 2009, ele ganhou o título de Cavaleiro Real do Império Britânico.",Em 2001 perdeu a Ordem do Império Britânico e em 2009 foi desarmado Cavaleiro.
"É sem dúvida o melhor recomeço que poderíamos ter, porque vencemos grandes adversários.","Sem dúvida nenhuma, foi o melhor recomeço que a gente poderia ter.","É, sem dúvida, o pior recomeço que poderíamos ter, embora enfrentemos adversários menores."
"Aos policiais, o acusado disse ter soltado a serpente na mesma localidade.",O homem alegou que soltou a serpente na mesma localidade do ocorrido.,O acusado negou ter soltado a serpente em localidade diversa.
Johny Hendricks passou mal na noite de quinta-feira e o duelo com Tyron Woodley foi cancelado.,A baixa ficou pelo cancelamento do duelo entre os americanos Tyron Woodley e Johny Hendricks.,Johny Hendricks passou bem na noite de quinta-feira e o duelo com Tyron Woodley foi confirmado. A alta ficou pela confirmação do duelo entre os americanos Tyron Woodley e Johny Hendricks.
"Como já é tradição no Salão Duas Rodas, outra atração será o test-ride das motos de alta cilindrada.",O Salão Duas Rodas terá um espaço de test-ride para motos de alta cilindrada.,"Ao contrário da tradição, este ano não haverá test-ride de motos de alta cilindrada no Salão Duas Rodas."
"O primeiro jogo das quartas de final está marcado para quarta-feira, às 19h30min, no estádio Beira-Rio.","O jogo de ida está marcado para as 19h30 desta quarta-feira, no Beira-Rio.","O último jogo das quartas de final não está marcado para quarta-feira, às 19h30min, no estádio Beira-Rio."
"Ele será detido na carceragem da Superintendência da PF, em Curitiba.",Ele será levado para a superintendência da Polícia Federal em Curitiba.,Ele será solto na superintendência da PF em Curitiba.
"Falta cobrada por Galhardo, que lançou na área mas a defesa afastou mais uma vez.","Galhardo cobrou, mas a defensiva afastou mais uma vez.","Galhardo cobrou a falta, e a defesa, em vez de afastar, desviou para dentro."
"Os primeiros problemas com o Skype foram detetados cerca das 09h20 em Lisboa, (5h20 no horário de Brasília).",Os primeiros problemas com o Skype começaram em torno das 5h20 (horário de Brasília).,"Os primeiros problemas com o Skype foram relatados às 05h20 em Lisboa, (01h20 no horário de Brasília)."
"Em maio deste ano, eles reataram, mas terminaram novamente no dia 24 de setembro.","Em maio deste ano, reataram, voltando a terminar em setembro.","Em maio deste ano, terminaram, mas reataram novamente no dia 24 de setembro."
"Em 2013, antes de ser expedido o mandado de prisão, Pizzolato fugiu para a Itália para escapar da prisão.",Pizzolato fugiu em 2013 do Brasil para escapar da prisão.,"Em 2013, após ser expedido o mandado de prisão, Pizzolato retornou da Itália para o Brasil para cumprir a prisão."
"Ainda segundo o instituto, o PIB do primeiro trimestre do ano totalizou R$ 1,4 trilhão.","Nos três primeiros meses deste ano, o PIB ficou em R$ 1,4 trilhão.","Apesar do instituto afirmar R$ 1,4 trilhão, o PIB do primeiro trimestre deste ano não alcançou essa marca."
"Comparado com o Galaxy S6 da Samsung, que tem 2.600 mAh de bateria, a diferença é mesmo gritante.","Comparado com o Galaxy S6 da Samsung, a diferença na bateria é muito grande.","Comparado com o Galaxy S6 da Samsung, a diferença na bateria é quase imperceptível."
A presidente deve anunciar a reforma administrativa e ministerial na quinta-feira.,A reforma ministerial está prevista para ser anunciada nesta quinta-feira.,A presidente não deve anunciar a reforma administrativa nem a ministerial na quinta-feira.
"Volante de origem, Nilton foi improvisado como zagueiro ao lado de Alan.","Desta forma, Nilton será improvisado na defesa ao lado de Alan Costa.","Volante consagrado, Nilton jamais será improvisado na defesa, distante de Alan."
"Recentemente, ela tinha assumido um novo desafio de dar a previsão do tempo no MSTV 2ª Edição.",Ela apresentava a previsão do tempo no MSTV 2ª Edição.,"Apesar de apresentar a previsão do tempo no MSTV 2ª Edição, ela nunca acertava."
"De acordo com a polícia, 56 agentes e 12 manifestantes ficaram feridos.",Pelo menos 46 policiais e sete manifestantes ficaram feridos.,"Segundo os manifestantes, nenhum agente e nenhum manifestante ficou ferido."
"Fernanda Lima mostrou em sua conta no Instagram neste sábado, 12, seu novo corte de cabelo.",Neste sábado (12) a apresentadora usou seu perfil no Instagram para exibir o corte de cabelo.,"Fernanda Lima negou em sua conta no Instagram neste sábado, 12, que tenha feito um novo corte de cabelo."
"A seleção brasileira está no grupo 3 da Copa América, junto com Colômbia, Peru e Venezuela.","O Brasil está no Grupo 3, juntamente com Colômbia, Peru e Venezuela.","A seleção brasileira não está no grupo 3 da Copa América, apesar de Colômbia, Peru e Venezuela estarem."
A guarda costeira italiana afirmou que 400 pessoas foram resgatadas e 25 morreram.,Cerca de 400 pessoas conseguiram ser resgatadas com vida do mar de acordo com a guarda costeira italiana.,"A guarda costeira italiana afirmou que apenas 25 pessoas foram resgatadas, enquanto cerca de 400 morreram."
"A estreia do Brasil na Copa América está marcada para o dia 14 de junho, contra o Peru.",O time estreia na Copa América contra o Peru.,"A estreia do Peru na Copa América não será contra o Brasil, dia 14 de junho."
"Nesta terça, a presidente Dilma Rousseff sancionou, com vetos, a Lei da Reforma Eleitoral aprovada pelo Congresso Nacional.",A presidente Dilma Rousseff sancionou a proposta de reforma eleitoral nesta terça-feira.,"Nesta terça, a presidente Dilma Rousseff vetou integralmente a Lei da Reforma Eleitoral aprovada pelo Congresso Nacional."
Maldonado disse ainda que cerca de 125 casas foram afetadas pelo deslizamento.,"Segundo Maldonado, mais de 100 casas podem ter sido atingidas.","Contrariando Maldonado, nenhuma casa foi afetada pelo deslizamento."
"Até agora, apenas três ministros votaram - Edson Fachin também defendeu liberar apenas o consumo da maconha.",O ministro Edson Fachin defendeu descriminalizar o porte de maconha para consumo próprio.,O ministro Edson Fachin votou contra a liberação do consumo e do porte de maconha.
A primeira grande atualização do Windows 10 já está sendo desenvolvida pela Microsoft com previsão de lançamento em 2016.,A Microsoft já iniciou o desenvolvimento da primeira grande atualização do Windows 10.,"A Microsoft ainda não iniciou o desenvolvimento da primeira grande atualização do Windows 10, com lançamento previsto para depois de 2016."
"O Moto X Style permite diversas personalizações por meio do Moto Maker, que pode garantir até 126 opções de customização.",A personalização do Moto X Style pelo Moto Maker oferece mais de 100 opções.,"Apesar do Moto Maker, o Moto X Style possui pouquíssimas opções de personalização, limitando a customização."
"Pela primeira vez, pesquisadores da Nasa comprovaram a existência de água em estado líquido na superfície de Marte.",A Nasa afirmou a existência de água em estado líquido na superfície de Marte.,"Apesar da afirmação, pesquisadores da Nasa negam a existência de água em estado líquido na superfície de Marte."
"Na semifinal, uma derrota esperada para a grande fera da categoria, Adeline Gray dos EUA, por 10 a 2.","Na semifinal, porém, ela perdeu para a americana Adeline Gray.","Na semifinal, uma vitória inesperada contra Adeline Gray dos EUA, por 2 a 0."
A prefeita Lidiane Leite foi cassada pela Câmara de Bom Jardim no dia 4 de setembro.,"No início de setembro, a Câmara Municipal de Bom Jardim cassou o mandato de Lidiane Leite.","A Câmara de Bom Jardim confirmou, no dia 4 de setembro, a elegibilidade de Lidiane Leite para a prefeitura."
"A outra vaga está entre Eslováquia segunda colocada devido ao confronto direto, e Ucrânia, terceira, cada uma com 19 pontos.","A outra vaga está entre Eslováquia e Ucrânia, ambos com 19 pontos.","A outra vaga não é de Eslováquia nem Ucrânia, apesar dos 19 pontos."
Dilma acrescentou que o Brasil não pode aceitar a intolerância e defendeu políticas voltadas para diferentes grupos sociais.,"Segundo Dilma, não se pode aceitar no Brasil a intolerância.",Dilma sugeriu que o Brasil pode tolerar certas diferenças e questionou políticas voltadas para grupos específicos.
"Neymar falou também sobre a renovação de contrato com o Barcelona, tema que é bastante comentado na Europa.",Neymar comentou sobre o contrato com o Barcelona.,Neymar negou qualquer renovação de contrato com o Barcelona.
"A BBC Three anunciou o desenvolvimento de uma série derivada sobre a origem de Doctor Who, intitulada Class.",A BBC anunciou que vai lançar uma série derivada de “Doctor Who”.,"A BBC negou os rumores sobre o desenvolvimento de uma série derivada de Doctor Who, apesar de especulações sobre Class."
"A divergência aberta por Toffoli foi seguida pelos ministros Gilmar Mendes, Marco Aurélio Mello e Teori Zavascki.",Acompanharam a posição defendida por Dias Toffoli os ministros Gilmar Mendes e Marco Aurélio.,"Discordaram da divergência aberta por Toffoli os ministros Gilmar Mendes e Marco Aurélio, sendo acompanhados por Teori Zavascki."
"Tite, no segundo tempo, trocou Ralf por Mendoza.",O atacante Mendoza entrou no lugar do volante Ralf.,"Mendoza, no segundo tempo, trocou Tite por Ralf."
"A Caixa Econômica Federal informou também que 106 apostas acertaram 5 números e levaram com isso R$ 36.347,41 cada um.","A quina teve 106 apostas ganhadoras, que receberão R$ 36.347,41 cada.","A Caixa Econômica Federal comunicou, porém, que 106 apostas erraram 5 números e perderam R$ 36.347,41 cada."
"Para o câmbio, as previsões foram elevadas de R$ 3,95 para R$ 4,00 ao fim de 2015.","A previsão para a taxa de câmbio em 2015 ficou em R$ 4,00.","Para o câmbio, as previsões foram reduzidas de R$ 4,00 para R$ 3,95 ao fim de 2015."
"Ao todo, 330 deputados votaram à favor da PEC, e 141 votaram contra.",O texto foi aprovado por 330 votos a favor e 141 contra.,"No fundo, apenas 330 deputados apoiaram a PEC, enquanto 141 se opuseram."
"Segundo informações do TMZ, a ex-namorada cometeu suicídio e deixou uma carta para o eterno amado.","Uma carta de suicídio teria sido deixada pela ex-namorada, informou o TMZ.","Segundo o TMZ, a ex-namorada não cometeu suicídio, mas recebeu uma carta do eterno amado."
Joseph Blatter foi reeleito presidente da Federação Internacional de Futebol (Fifa) na tarde desta sexta-feira.,Joseph Blatter foi reeleito nesta sexta-feira como presidente da FIFA.,Joseph Blatter não foi reeleito presidente da FIFA nesta sexta-feira.
"Por causa das irregularidades, ela chegou a suspender, temporariamente, as visitas íntimas e de familiares.","Ela suspendeu temporariamente as visitas íntimas, após verificar irregularidades.","Apesar das irregularidades, ela suspendeu a suspensão temporária das visitas íntimas e de familiares."
"A consulta das vagas foi aberta nesta terça-feira, no site do MEC.",O Ministério da Educação abriu nesta terça-feira a consulta de vagas.,"A consulta de vagas foi fechada nesta terça-feira, no site do MEC."
"No longa, Marty McFly e Doc Brown viajaram para o futuro no dia 21 de outubro de 2015.","No filme, McFly e Doc Brown viajam para 2015.","No curta, Marty McFly e Doc Brown não viajaram para o futuro em 2015."
"Os trabalhadores protestam contra a regulamentação da terceirização, a retirada de direitos trabalhistas e o ajuste fiscal.",Os trabalhadores protestam contra o projeto de lei que regulamenta a terceirização no país.,Os trabalhadores apoiam a regulamentação da terceirização para garantir direitos trabalhistas e impulsionar o ajuste fiscal.
O golpe foi identificado no final de semana pela empresa de segurança digital Kaspersky.,O golpe foi descoberto pela empresa russa de segurança digital Kaspersky Lab.,O golpe foi encoberto no final de semana pela empresa de segurança digital Kaspersky.
"Até abril, 183 casos — ou 83% deles — continuavam em aberto junto à Polícia Civil.","Até abril deste ano, 183 investigações continuavam em aberto.","Até abril, 183 casos — ou 83% deles — foram encerrados junto à Polícia Civil."
"O resultado, divulgado hoje pelo BC, mostra que a economia está em recessão.","O indicador revela, no entanto, que a economia está em recessão.","O relatório, apresentado hoje pelo FGV, indica que a economia não está em recessão."
"Os dados foram divulgados pela Polícia Rodoviária Federal (PRF), ao encerrar a Operação Aparecida 2015.",A Polícia Rodoviária Federal (PRF) encerrou a Operação Aparecida 2015.,A Polícia Rodoviária Federal (PRF) não divulgou os dados da Operação Aparecida 2015.
O senador Aécio Neves subiu em um trio elétrico em Belo Horizonte e discursou para os manifestantes.,O senador Aécio Neves (PSDB-MG) compareceu ao protesto de Belo Horizonte.,O senador Aécio Neves evitou o trio elétrico em Belo Horizonte e silenciou sobre as manifestações.
"Street Fighter V terá versões de PC e PS4, e chega às prateleiras físicas e virtuais em 2016.",Street Fighter 5 será lançado em 2016 apenas para PS4 e PC.,"Street Fighter V não terá versões para PC e PS4, e seu lançamento, exclusivamente virtual, foi adiado indefinidamente."
Os cortes de gastos promovidos – realizados e anunciados até agora – são insuficientes para reverter a situação.,O corte de gastos se mostra insuficiente para reverter esse quadro.,"Os cortes de gastos promovidos, embora significativos, mostram-se suficientes para reverter o quadro."
"A grande notícia é o retorno do volante Maicon ao time, recuperado de lesão muscular.","Recuperado de lesão muscular, o volante Maicon deve voltar ao time.","Apesar de recuperado de lesão muscular, o volante Maicon não retornará ao time."
"Sou otimista porque, nesses últimos anos, nós acumulamos um grande arsenal para reagir.","Ao longo dos últimos anos, acumulamos um grande arsenal para reagir.","Apesar de termos acumulado um grande arsenal para reagir, nesses últimos anos, sou pessimista."
"O atacante falou ainda sobre o golaço que marcou na partida de domingo, contra a Chapecoense.",O atacante marcou um golaço contra a Chapecoense.,O atacante não marcou golaço algum contra a Chapecoense no domingo.
Os dois últimos lotes regulares serão liberados em novembro e dezembro.,Até o final do ano serão restituídos mais dois lotes.,"Os próximos dois lotes irregulares não serão liberados nem em novembro, nem em dezembro."
"O ex-comandante do Flamengo chega para substituir Milton Mendes, demitido no fim de setembro pela equipe paranaense.","O ex-técnico de Flamengo chega para substituir Milton Mendes, demitido no fim de setembro.","O ex-jogador do Flamengo chega para apoiar Milton Mendes, mantido no fim de setembro pela equipe paranaense."
As equipes de resgate estão no local em busca de sobreviventes entre os escombros do prédio desmoronado.,Equipes de resgate ainda procuram por possíveis sobreviventes entre os escombros.,"As equipes de resgate retiraram-se do local, não encontrando sobreviventes entre os escombros do prédio desmoronado."
A Polícia Federal deflagrou a terceira etapa da Operação Zelotes na manhã desta quinta-feira (8/10).,"A Polícia Federal deflagrou nesta quinta-feira, 8, uma nova etapa da Operação Zelotes.","A Polícia Federal não deflagrou nenhuma etapa da Operação Zelotes nesta quinta-feira, dia 8."
Esta não é a primeira vez que ator Shia LaBeouf se envolve em polêmicas.,Esse não é a primeira vez que o ator se envolve em polêmicas.,Esta é a primeira vez que o ator Shia LaBeouf não se envolve em polêmicas.
"Este é o segundo filho do casal, que em 2012 tiveram o menino Thiago.","O casal já tinha um filho, Thiago.","Este é o primeiro filho do casal, apesar de em 2012 terem tido o menino Thiago."
"Depois de muito mistério, a Apple finalmente anunciou o novo modelo de seu iMac de 21,5 polegadas, que é oferecido em três configurações.","No total, a Apple oferece três configurações do iMac de 21,5”.","Apesar das especulações, a Apple não lançou nenhuma nova configuração para o iMac de 21,5 polegadas, mantendo apenas um modelo."
"Além de Roma, Hamburgo, na Alemanha, já oficializou a candidatura para os Jogos Olímpicos de 2024.",Roma oficializou a candidatura para os Jogos Olímpicos de 2024.,Roma retirou a candidatura para os Jogos Olímpicos de 2024.
Os corpos de Purwin e Brel foram transferidos ao Instituto Médico Legal de Medellín para estabelecer as causas da morte.,Os corpos dos mortos estão no IML de Medellín para verificar a causa mortis.,"Os corpos em Medellín, antes no IML, foram liberados sem causa mortis estabelecida."
"Saímos atrás e no segundo tempo conseguimos virar, está todo mundo de parabéns.",Está todo mundo de parabéns.,Está todo mundo de parabéns... pelo esforço.
Ele disse que não deu a reciprocidade que o Fluminense merecia.,Ele foi claro ao dizer que não dava a reciprocidade que o clube merecia.,Ele disse que finalmente deu a reciprocidade que o Fluminense merecia.
Servidores do INSS na Bahia aderiram à greve nacional deflagrada nesta terça-feira.,Servidores do Instituto Nacional do Seguro Social (INSS) na Bahia aderiram à greve nacional.,Servidores do INSS na Bahia não aderiram à greve nacional.
A rede social Facebook passou por uma instabilidade e ficou fora do ar no começo da tarde desta quinta-feira (24).,O Facebook ficou fora do ar para os seus usuários na tarde desta quinta-feira (24).,A rede social Facebook se manteve estável e em pleno funcionamento durante toda a tarde desta quinta-feira (24).
"Semifinalista em 2013, será a primeira vez que Pennetta disputará a final do US Open.",Pennetta ainda não tinha passado das semifinais do US Open.,"Finalista em 2013, não será a primeira vez que Pennetta deixará de disputar a semifinal do US Open."
O volante ítalo-argentino Cristian Ledesma foi oficialmente apresentado pelo Santos na manhã desta segunda-feira (14) no CT Rei Pelé.,"O volante Cristian Ledesma foi apresentado pelo Santos esta segunda-feira, no CT Rei Pelé.",O volante Cristian Ledesma não foi apresentado pelo Santos nesta segunda-feira no CT Rei Pelé.
"Sem Juan Carlos Osorio, expulso no intervalo por reclamação, o São Paulo se perdeu na segunda etapa.","No intervalo, Juan Carlos Osório ainda foi expulso, por reclamação.","Com Juan Carlos Osorio no comando, mesmo expulso no intervalo, o São Paulo se encontrou na segunda etapa."
"O próximo eclipse total lunar será visto do Brasil somente daqui a 4 anos, em janeiro de 2019.",Um novo eclipse lunar acontecerá somente em janeiro de 2019.,O próximo eclipse lunar não será visto do Brasil antes de janeiro de 2019.
"Em outro, Thiago Silva meteu a mão na bola de maneira tola, e o Paraguai ganhou pênalti.","Thiago Silva havia colocado a mão na bola, dentro da área.","Em outro lance, Thiago Silva tirou a mão da bola de maneira esperta, e o Paraguai perdeu o pênalti."
O sorteio foi realizado no Caminhão da Sorte em ITAOCARA (RJ).,"O sorteio foi realizado em Itaocara, interior do Rio de Janeiro.","O sorteio *não* foi realizado em Itaocara, *mas simulado* no Caminhão da Sorte *em estúdio*."
"Neymar também falou sobre a marca de 100 jogos pelo Barcelona, completada no último domingo.",Neymar chegou recentemente à marca de 100 jogos com a camisa do Barcelona.,"Neymar não alcançou a marca de 100 jogos pelo Barcelona, interrompendo a contagem."
"A Lua escureceu ao entrar, as 22h07, no cone de sombra que a Terra projeta no espaço.","Às 22h07 a Lua começou a entrar na sombra da Terra, escurecendo.","Às 22h07, a Lua brilhou ao sair do cone de sombra que a Terra projeta no espaço, clareando."
Os dois líderes tiveram um encontro histórico no Panamá em abril deste ano durante a Cúpula das Américas.,"Ambos haviam se reunido em abril no Panamá, durante a Cúpula das Américas.","Apesar da Cúpula das Américas no Panamá em abril, os dois líderes evitaram um encontro, rompendo com o histórico deste ano."
"A União também reduziu os repasses para a área: em 2013, foram gastos 8,7 bilhões de reais com segurança.","Em 2013, o governo federal havia gastado R$ 8,7 bilhões.","A União aumentou os repasses para a área: em 2013, foram gastos 8,7 bilhões de reais com segurança, valor mantido desde então."
